Designator,Mid X,Mid Y,Rotation,Layer
R32,399.08382,-227.527188,180.0,top
R33,402.90882,-217.683498,0.0,top
R34,399.08382,-217.683498,180.0,top
R35,402.90882,-207.683498,0.0,top
R36,399.08382,-207.683498,180.0,top
R37,402.90882,-197.683498,0.0,top
R38,398.99632,-197.683498,180.0,top
R39,411.99632,-221.973498,180.0,top
R4,255.9075,-153.72,270.0,bottom
R40,411.99632,-211.808498,180.0,top
R41,411.99632,-201.653498,180.0,top
R42,411.99632,-191.493498,180.0,top
R43,379.968095,-192.67125,90.0,top
R44,379.968095,-196.49625,270.0,top
R45,370.1225,-192.6275,90.0,top
R46,370.1225,-196.4525,270.0,top
R47,360.2825,-192.6275,90.0,top
R48,360.2825,-196.4525,270.0,top
R49,350.280595,-192.58375,90.0,top
R5,275.9875,-149.37,270.0,bottom
R50,350.280595,-196.49625,270.0,top
R51,416.5,-166.5325,90.0,top
R52,416.5,-156.3725,90.0,top
R53,416.5,-146.2125,90.0,top
R54,416.5,-136.0525,90.0,top
R55,356.95631,-257.7925,270.0,top
R56,356.95631,-253.9675,90.0,top
R57,366.8,-257.7925,270.0,top
R58,366.8,-253.9675,90.0,top
R59,376.8,-257.7925,270.0,top
R6,270.9075,-153.72,270.0,bottom
R60,376.8,-253.9675,90.0,top
R61,362.51,-266.88,90.0,top
R62,372.675,-266.88,90.0,top
R63,382.83,-266.88,90.0,top
R64,298.17,-166.82,90.0,top
R65,303.19,-179.65,270.0,top
R66,322.06,-180.3,180.0,top
R67,322.79,-169.5875,90.0,top
R68,328.25,-166.82,90.0,top
R69,333.27,-179.65,270.0,top
R7,290.9875,-149.37,270.0,bottom
R70,352.14,-180.3,180.0,top
R71,352.87,-169.5875,90.0,top
R72,358.25,-166.82,90.0,top
R73,363.27,-179.65,270.0,top
R74,382.14,-180.3,180.0,top
R75,382.87,-169.5875,90.0,top
R76,388.33,-166.82,90.0,top
R77,393.35,-179.65,270.0,top
R78,412.22,-180.3,180.0,top
R79,412.95,-169.5875,90.0,top
R8,285.9075,-153.72,270.0,bottom
R80,254.0,-278.4375,90.0,top
R81,254.8525,-267.35,0.0,top
R82,258.6025,-267.35,0.0,top
R83,258.6025,-264.6,0.0,top
R84,254.82,-261.25,0.0,top
R85,266.75,-262.1,0.0,top
R86,271.5,-262.35,180.0,top
R9,225.8375,-164.6825,180.0,bottom
RE1,310.8,-141.239375,180.0,top
RE2,340.88,-141.239375,180.0,top
RE3,370.88,-141.239375,180.0,top
RE4,400.96,-141.239375,180.0,top
U1,301.98,-173.9,0.0,top
U2,332.06,-173.9,0.0,top
U3,362.06,-173.9,0.0,top
U4,392.14,-173.9,0.0,top
U5,264.415,-266.2,90.0,top
